5V:1
D1:1
D10:1
D11:1
D2:1
D3:1
D5:1
D6:1
D7:1
D9:1
IR-:1
IR_D:1
LED-:1
R1:1
R10:1
R11:1
R2:1
R3:1
R5:1
R6:1
R7:1
R9:1
U1:1
U2:1
U3:1
