Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description
3V3,1,33V,TestPoint_Pad_D1.0mm,,,,tht,
"D10, D2, D6",3,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,,,smt,
"IRLED_POW1, IRREC_POW1",2,GND,TestPoint_Pad_D1.0mm,,,,tht,
IRREC_DATA1,1,IR,TestPoint_Pad_D1.0mm,,,,tht,
J3,1,Conn_01x06,FPC_4pin_0.5mm_fingers,,,,smt,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)"
"R10, R2, R6",3,R,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,,,,smt,
"U1, U2, U3",3,IRM-H638T_TR2,IRM-H638T&slash_TR2_EVE-L,,,,smt,
